2024-06-30 16:21:55 install libseccomp2:amd64 <none> 2.5.1-1+deb11u1
2024-06-30 16:21:55 status half-installed libseccomp2:amd64 2.5.1-1+deb11u1
2024-06-30 16:21:55 status unpacked libseccomp2:amd64 2.5.1-1+deb11u1
2024-06-30 16:21:55 install libselinux1:amd64 <none> 3.1-3
2024-06-30 16:21:55 status half-installed libselinux1:amd64 3.1-3
2024-06-30 16:21:55 status unpacked libselinux1:amd64 3.1-3
2024-06-30 16:21:55 install libsemanage-common:all <none> 3.1-1
2024-06-30 16:21:55 status half-installed libsemanage-common:all 3.1-1
2024-06-30 16:21:55 status unpacked libsemanage-common:all 3.1-1
2024-06-30 16:21:55 install libsemanage1:amd64 <none> 3.1-1+b2
2024-06-30 16:21:55 status half-installed libsemanage1:amd64 3.1-1+b2
2024-06-30 16:21:55 status unpacked libsemanage1:amd64 3.1-1+b2
2024-06-30 16:21:55 install libsepol1:amd64 <none> 3.1-1
2024-06-30 16:21:55 status half-installed libsepol1:amd64 3.1-1
2024-06-30 16:21:55 status unpacked libsepol1:amd64 3.1-1
2024-06-30 16:21:55 install libsmartcols1:amd64 <none> 2.36.1-8+deb11u2
2024-06-30 16:21:55 status half-installed libsmartcols1:amd64 2.36.1-8+deb11u2
2024-06-30 16:21:55 status unpacked libsmartcols1:amd64 2.36.1-8+deb11u2
2024-06-30 16:21:55 install libss2:amd64 <none> 1.46.2-2
2024-06-30 16:21:55 status half-installed libss2:amd64 1.46.2-2
2024-06-30 16:21:55 status unpacked libss2:amd64 1.46.2-2
2024-06-30 16:21:55 install libssl1.1:amd64 <none> 1.1.1w-0+deb11u1
2024-06-30 16:21:55 status half-installed libssl1.1:amd64 1.1.1w-0+deb11u1
2024-06-30 16:21:55 status unpacked libssl1.1:amd64 1.1.1w-0+deb11u1
2024-06-30 16:21:55 install libstdc++6:amd64 <none> 10.2.1-6
2024-06-30 16:21:55 status half-installed libstdc++6:amd64 10.2.1-6
2024-06-30 16:21:55 status unpacked libstdc++6:amd64 10.2.1-6
2024-06-30 16:21:55 install libsystemd0:amd64 <none> 247.3-7+deb11u5
2024-06-30 16:21:55 status half-installed libsystemd0:amd64 247.3-7+deb11u5
2024-06-30 16:21:55 status unpacked libsystemd0:amd64 247.3-7+deb11u5
2024-06-30 16:21:55 install libtasn1-6:amd64 <none> 4.16.0-2+deb11u1
2024-06-30 16:21:55 status half-installed libtasn1-6:amd64 4.16.0-2+deb11u1
2024-06-30 16:21:56 status unpacked libtasn1-6:amd64 4.16.0-2+deb11u1
2024-06-30 16:21:56 install libtinfo6:amd64 <none> 6.2+20201114-2+deb11u2
2024-06-30 16:21:56 status half-installed libtinfo6:amd64 6.2+20201114-2+deb11u2
2024-06-30 16:21:56 status unpacked libtinfo6:amd64 6.2+20201114-2+deb11u2
2024-06-30 16:21:56 install libtirpc-common:all <none> 1.3.1-1+deb11u1
2024-06-30 16:21:56 status half-installed libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 16:21:56 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2024-06-30 16:21:56 install libtirpc3:amd64 <none> 1.3.1-1+deb11u1
2024-06-30 16:21:56 status half-installed libtirpc3:amd64 1.3.1-1+deb11u1
